Sea_Otters,NOrthern_Abalone,Sum,terminal_observation
0.0,0.23765838203221237,0.23765838203221237,
0.0,0.24529933500813125,0.24529933500813125,
0.0,0.2346235905068922,0.2346235905068922,
0.0,0.2247597594718062,0.2247597594718062,
0.0,0.2156189200596305,0.2156189200596305,
0.0,0.22326426331777302,0.22326426331777302,
0.0,0.2531817999817138,0.2531817999817138,
0.0,0.26230607242689435,0.26230607242689435,
0.0,0.289277885210895,0.289277885210895,
0.029580073415279965,0.32424678413439106,0.353826857549671,
0.02502551707568019,0.34382127829653625,0.36884679537221643,
0.019468878189202343,0.34896907618343315,0.3684379543726355,
0.029580073415279965,0.3792421647650471,0.40882223818032704,
0.035603756258822894,0.39865662834852633,0.4342603846073492,
0.029580073415279965,0.4301560566814581,0.4597361300967381,
0.035603756258822894,0.44890730628016484,0.48451106253898774,
0.042804824908230246,0.4157033266127858,0.45850815152101604,
0.051391619076351626,0.41662911758879134,0.468020736665143,
0.06159984208208578,0.43477171131891607,0.49637155340100186,
0.07369196256158063,0.4756496847246147,0.5493416472861954,
0.08795440649889065,0.47139033867391,0.5593447451728006,
0.10469164137139214,0.4696577063711505,0.5743493477425426,
0.1242161479940927,0.4841302367388574,0.6083463847329501,
0.1468332945882101,0.4799228767631233,0.6267561713513334,
0.029580073415279965,0.5230533381475551,0.5526334115628351,
0.035603756258822894,0.47938598478666333,0.5149897410454862,
0.042804824908230246,0.4419000427013293,0.48470486760955955,
0.051391619076351626,0.4597803409779253,0.5111719600542769,
0.029580073415279965,0.5028050566004059,0.5323851300156859,
0.029580073415279965,0.5345926671611234,0.5641727405764034,
0.035603756258822894,0.5783858518527885,0.6139896081116114,
0.042804824908230246,0.526035693793711,0.5688405187019412,
0.051391619076351626,0.5566622423858436,0.6080538614621952,
0.06159984208208578,0.5696558837980601,0.6312557258801459,
0.029580073415279965,0.6135216377926631,0.6431017112079431,
0.035603756258822894,0.6024253772217271,0.6380291334805499,
0.042804824908230246,0.5885971543249904,0.6314019792332206,
0.03064496008690351,0.5766756064686641,0.6073205665555677,
0.03687799483129278,0.5247993601173305,0.5616773549486234,
0.029580073415279965,0.5687938178854313,0.5983738913007113,
0.035603756258822894,0.6124813165235274,0.6480850727823504,
0.042804824908230246,0.6552303061689572,0.6980351310771874,
0.051391619076351626,0.681122358051154,0.7325139771275055,
0.06159984208208578,0.7208413664042899,0.7824412084863757,
0.07369196256158063,0.6414446345738741,0.7151365971354547,
0.018248618556614304,0.6845388469643815,0.7027874655209958,
0.02201235519496137,0.7261372317971825,0.7481495869921438,
0.026533273141651045,0.6984194517911876,0.7249527249328386,
0.031955096420415184,0.6740535820214567,0.7060086784418719,
0.029580073415279965,0.715733662636294,0.745313736051574,
0.035603756258822894,0.6931282095731693,0.7287319658319922,
0.017269718900657868,0.7347224431964859,0.7519921620971438,
0.012217493786908227,0.7066404914788798,0.7188579852657879,
0.014754310838278346,0.731442387546738,0.7461966983850163,
0.029580073415279965,0.7707376649971674,0.8003177384124475,
